"Value","Text","URL","Suggested Title","Suggested URL"
"1807","Ultra Mirage Full Face CPAP Mask with Headgear","#N/A","Full Face CPAP Masks (Discontinued)","https://www.sleeping.com/collections/full-face-cpap-masks"
"4685","AirFit™ N10 Nasal CPAP Mask with Headgear","#N/A","Nasal CPAP Masks (Discontinued)","https://www.sleeping.com/collections/nasal-cpap-masks"
"5799","Apex Wizard 310 Nasal CPAP Mask","#N/A","Nasal CPAP Masks (Discontinued)","https://www.sleeping.com/collections/nasal-cpap-masks"
"5798","Apex Wizard 320 Full Face CPAP Mask","#N/A","Nasal CPAP Masks (Discontinued)","https://www.sleeping.com/collections/nasal-cpap-masks"
"6366","Assembly Kit for Nova Nasal Mask","#N/A","Nasal CPAP Masks (Discontinued)","https://www.sleeping.com/collections/nasal-cpap-masks"
"5348","DreamWear Gel Nasal Pillow CPAP Mask with Headgear - Fit Pack (All Nasal Pillows with Medium Frame)","#N/A","Nasal CPAP Masks (Discontinued)","https://www.sleeping.com/collections/nasal-cpap-masks"
"5852","DreamWear Nasal CPAP Mask - Fit Pack + Mask Wipes Bundle","#N/A","Nasal CPAP Masks (Discontinued)","https://www.sleeping.com/collections/nasal-cpap-masks"
"5874","DreamWear Silicone Nasal Pillow CPAP Mask with Headgear","#N/A","Nasal CPAP Masks (Discontinued)","https://www.sleeping.com/collections/nasal-cpap-masks"
"791","FlexiFit HC405 Nasal CPAP Mask with Headgear","#N/A","Nasal CPAP Masks (Discontinued)","https://www.sleeping.com/collections/nasal-cpap-masks"
"2020","FlexiFit HC406 Petite Nasal CPAP Mask with Headgear","#N/A","Nasal CPAP Masks (Discontinued)","https://www.sleeping.com/collections/nasal-cpap-masks"
"1282","FlexiFit HC407 Nasal CPAP Mask with Headgear","#N/A","Nasal CPAP Masks (Discontinued)","https://www.sleeping.com/collections/nasal-cpap-masks"
"6365","Nova Nasal CPAP Mask","#N/A","Nasal CPAP Masks (Discontinued)","https://www.sleeping.com/collections/nasal-cpap-masks"
"5412","Rio II Nasal Pillow CPAP Mask with Headgear","#N/A","Nasal CPAP Masks (Discontinued)","https://www.sleeping.com/collections/nasal-cpap-masks"
"5298","SleepWeaver 3D Soft Cloth Nasal CPAP Mask with Headgear","#N/A","Nasal CPAP Masks (Discontinued)","https://www.sleeping.com/collections/nasal-cpap-masks"
"3932","SleepWeaver Advance Nasal CPAP Mask with Improved Zzzephyr Seal","#N/A","Nasal CPAP Masks (Discontinued)","https://www.sleeping.com/collections/nasal-cpap-masks"
"5138","SleepWeaver Advance Pediatric Nasal CPAP Mask with Headgear","#N/A","Nasal CPAP Masks (Discontinued)","https://www.sleeping.com/collections/nasal-cpap-masks"
"4745","SleepWeaver Advance Small Soft Cloth Nasal CPAP Mask with Headgear","#N/A","Nasal CPAP Masks (Discontinued)","https://www.sleeping.com/collections/nasal-cpap-masks"
"4482","Swift FX Nano For Her Nasal CPAP Mask with Headgear","#N/A","Nasal CPAP Masks (Discontinued)","https://www.sleeping.com/collections/nasal-cpap-masks"
"4407","Swift FX Nano Nasal CPAP Mask with Headgear","#N/A","Nasal CPAP Masks (Discontinued)","https://www.sleeping.com/collections/nasal-cpap-masks"
"5671","ResMed AirFit F30 Mask + 2 Replacement Cushions Bundle","#N/A","AirFit F30 Full Face CPAP Mask","https://www.sleeping.com/products/resmed-airfit-f30-full-face-cpap-mask"
