# sha256 10b505f91906ce3b69e5ea463b7dc1d910eed1a8bc2952290bc37ac707e94b2f
user_field_name,legacy_value,legacy_text,value,url,disposition
Mask,4483,Amara Full Face CPAP Mask with Headgear,Amara Full Face CPAP Mask (Discontinued),https://www.cpap.com/collections/full-face-cpap-masks,collection
Mask,4499,Amara Full Face CPAP Mask with Gel & Silicone Cushions,Amara Full Face CPAP Mask (Discontinued),https://www.cpap.com/collections/full-face-cpap-masks,collection
Mask,4525,Nuance & Nuance Pro Nasal Pillow CPAP Mask with Gel Nasal Pillows,Nuance Pro Nasal Pillow CPAP Mask,https://www.cpap.com/products/nuance-pro-nasal-cpap-mask-respironics,resolves-to-product
Mask,4539,Pilairo Q Nasal Pillow CPAP Mask with Headgear,Pilairo Q Nasal Pillow CPAP Mask (Discontinued),https://www.cpap.com/collections/nasal-pillows-cpap-masks,collection
Mask,4606,AirFit P10 Nasal Pillow CPAP Mask with Headgear,AirFit P10 Nasal Pillow CPAP Mask,https://www.cpap.com/products/resmed-airfit-p10-nasal-pillow-cpap-mask,resolves-to-product
Mask,4607,AirFit P10 For Her Nasal Pillow CPAP Mask with Headgear,AirFit P10 Nasal Pillow CPAP Mask,https://www.cpap.com/products/resmed-airfit-p10-nasal-pillow-cpap-mask,resolves-to-product
Mask,4685,AirFit™ N10 Nasal CPAP Mask with Headgear,AirFit™ N10 Nasal CPAP Mask with Headgear (Discontinued),https://www.cpap.com/collections/nasal-cpap-masks,collection
Mask,4689,AirFit F10 Full Face Mask with Headgear,AirFit F10 Full Face Mask,https://www.cpap.com/products/resmed-airfit-f10-full-face-cpap-mask,resolves-to-product
Mask,4693,AirFit N10 For Her Nasal CPAP Mask with Headgear,AirFit N10 For Her Nasal CPAP Mask with Headgear (Discontinued),https://www.cpap.com/collections/nasal-cpap-masks,collection
Mask,4694,AirFit F10 For Her Full Face Mask with Headgear,AirFit F10 Full Face Mask,https://www.cpap.com/products/resmed-airfit-f10-full-face-cpap-mask,resolves-to-product
Mask,4745,SleepWeaver Advance Small Soft Cloth Nasal CPAP Mask with Headgear,SleepWeaver Advance Small Soft Cloth Nasal CPAP Mask with Headgear (Discontinued),https://www.cpap.com/collections/cpap-masks,collection
Mask,4869,Quest Full Face CPAP Mask with Headgear,Quest Full Face CPAP Mask (Discontinued),https://www.cpap.com/collections/full-face-cpap-masks,collection
Mask,4893,Pico Nasal CPAP Mask with Headgear,Pico Nasal CPAP Mask (Discontinued),https://www.cpap.com/collections/nasal-cpap-masks,collection
Mask,4899,Pico Nasal CPAP Mask with Headgear - Fit Pack,Pico Nasal CPAP Mask (Discontinued),https://www.cpap.com/collections/nasal-cpap-masks,collection
Mask,4950,Amara View Full Face CPAP Mask with Headgear,Amara View Full Face CPAP Mask,https://www.cpap.com/products/amara-view-full-face-cpap-mask-with-headgear,resolves-to-product
Mask,4987,DreamWear Nasal CPAP Mask with Headgear,DreamWear Nasal CPAP Mask,https://www.cpap.com/products/dreamwear-nasal-cpap-mask,resolves-to-product
Mask,5006,DreamWear Nasal CPAP Mask with Headgear - Fit Pack (All Cushions Included with Medium Frame),DreamWear Nasal CPAP Mask,https://www.cpap.com/products/dreamwear-nasal-cpap-mask,resolves-to-product
Mask,5073,MiniMe 2 Nasal Pediatric Mask with Headgear,MiniMe 2 Nasal Pediatric Mask (Discontinued),https://www.cpap.com/collections/nasal-cpap-masks,collection
Mask,5113,Amara View Full Face CPAP Mask with Headgear - Fit Pack,Amara View Full Face CPAP Mask,https://www.cpap.com/products/amara-view-full-face-cpap-mask-with-headgear,resolves-to-product
Mask,5138,SleepWeaver Advance Pediatric Nasal CPAP Mask with Headgear,SleepWeaver Advance Pediatric Nasal CPAP Mask with Headgear (Discontinued),https://www.cpap.com/collections/cpap-masks,collection
Mask,5139,Wisp Pediatric Nasal CPAP Mask with Headgear - Fit Pack,Wisp Pediatric Nasal CPAP Mask (Discontinued),https://www.cpap.com/collections/nasal-cpap-masks,collection
Mask,5231,AirFit N20 Nasal CPAP Mask with Headgear,AirFit N20 Nasal CPAP Mask,https://www.cpap.com/products/resmed-airfit-n20-nasal-cpap-mask,resolves-to-product
Mask,5232,ResMed AirFit F20 Full Face CPAP Mask with Headgear,AirFit F20 Full Face CPAP Mask,https://www.cpap.com/products/resmed-airfit-f20-full-face-cpap-mask,resolves-to-product
Mask,5234,Eson 2 Nasal CPAP Mask with Headgear,Eson 2 Nasal CPAP Mask,https://www.cpap.com/products/eson-2-nasal-cpap-mask,resolves-to-product
Mask,5248,AirFit F20 For Her Full Face CPAP Mask with Headgear,AirFit F20 Full Face CPAP Mask,https://www.cpap.com/products/resmed-airfit-f20-full-face-cpap-mask,resolves-to-product
Mask,5249,AirFit N20 For Her Nasal CPAP Mask with Headgear,AirFit N20 Nasal CPAP Mask,https://www.cpap.com/products/resmed-airfit-n20-nasal-cpap-mask,resolves-to-product
Mask,5298,SleepWeaver 3D Soft Cloth Nasal CPAP Mask with Headgear,SleepWeaver 3D Soft Cloth Nasal CPAP Mask with Headgear (Discontinued),https://www.cpap.com/collections/cpap-masks,collection
